"filename", "language", "Batch", "Markdown", "Dart", "JavaScript", "YAML", "Shell Script", "Rust", "JSON", "vue", "HTML", "CSS", "XML", "pip requirements", "Python", "Properties", "Makefile", "C", "Ruby", "C++", "Swift", "Gradle", "comment", "blank", "total"
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\README.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\benchmarks\benchmark.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 18, 55
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\benchmarks\sample.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\build.sh", "Shell Script", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\cypress.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\cypress\integration\test.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\dev_server\benchmark.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\dev_server\benchmark.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\dev_server\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\dev_server\index.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\dev_server\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 6436, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6437
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\dev_server\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\dev_server\test.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\dev_server\webpack.config.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 21, 157
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\src\tractjs_backend.rs", "Rust", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26, 136
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\src\utils.rs", "Rust", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 11
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\javascript\test\test.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\python\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\python\benches\benchmark.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\python\src\backend.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 12, 32
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\python\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 35, 264
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\python\src\onnxruntime_backend.rs", "Rust", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21, 112
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\python\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\bindings\python\tests\test_nnsplit.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 11, 30
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\nnsplit\examples\benchmark.rs", "Rust", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\nnsplit\examples\cli.rs", "Rust", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\nnsplit\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 89, 591
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\nnsplit\src\model_loader.rs", "Rust", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 93
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\nnsplit\src\tract_backend.rs", "Rust", 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31, 193
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\release.sh", "Shell Script", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
